text,mood
"I am feeling really happy today",happy
"I am so excited about my future",happy
"Today has been a wonderful day",happy
"I feel great and positive",happy
"I am really enjoying my day",happy
"I feel cheerful and energetic",happy
"I am smiling all day",happy
"I feel lucky and grateful",happy
"I am excited to meet my friends",happy
"Everything seems wonderful today",happy
"I feel amazing today",happy
"I am feeling joyful",happy
"I had a great day",happy
"I feel positive about everything",happy
"I am very excited",happy
"I feel very sad today",sad
"I don't feel like doing anything",sad
"I feel lonely and empty",sad
"I have been crying a lot",sad
"Nothing seems to make me happy",sad
"I miss the people I love",sad
"I feel emotionally tired",sad
"I feel like nobody understands me",sad
"Today has been really sad",sad
"I feel down today",sad
"I am feeling unhappy",sad
"I feel lonely today",sad
"I wish things were different",sad
"I feel disappointed",sad
"I am having a bad day",sad
"I am extremely angry",angry
"I am furious about what happened",angry
"I feel irritated and annoyed",angry
"Everything is making me angry",angry
"I cannot control my anger",angry
"I am frustrated with everyone",angry
"I hate how this situation turned out",angry
"I feel very annoyed today",angry
"I am angry because nobody listens to me",angry
"This situation makes me furious",angry
"I am really frustrated",angry
"I feel angry about this",angry
"I am losing my patience",angry
"This makes me very angry",angry
"I am annoyed with everyone",angry
"I feel very anxious",anxious
"I am worried about everything",anxious
"I cannot stop overthinking",anxious
"I feel nervous about tomorrow",anxious
"My mind is full of worries",anxious
"I am scared about what might happen",anxious
"I feel restless and stressed",anxious
"I am constantly worrying",anxious
"I feel nervous and uncomfortable",anxious
"I am afraid that something will go wrong",anxious
"I am worried about my exams",anxious
"I keep thinking about everything",anxious
"I feel stressed about the future",anxious
"I cannot calm my mind",anxious
"I feel nervous all the time",anxious
"I feel empty and have no motivation",depressed
"I have been feeling low lately",depressed
"I don't enjoy things that I used to enjoy",depressed
"I feel completely drained",depressed
"I have no energy to do anything",depressed
"I feel emotionally numb",depressed
"I don't feel interested in anything anymore",depressed
"I feel like everything is meaningless",depressed
"I don't have the motivation to get out of bed",depressed
"I feel disconnected from everything around me",depressed
"I have lost interest in my usual activities",depressed
"I feel exhausted even when I haven't done much",depressed
"I feel down and unmotivated",depressed
"I struggle to enjoy my daily life",depressed
"I feel very low and tired",depressed
"I am feeling okay today",neutral
"I don't feel strongly about anything",neutral
"Today was just an ordinary day",neutral
"I feel normal",neutral
"Nothing special happened today",neutral
"I am doing fine",neutral
"I feel calm today",neutral
"My day was normal",neutral
"I don't know how I feel",neutral
"I feel neither happy nor sad",neutral
"Today was an average day",neutral
"Everything is normal",neutral
"I am okay",neutral
"I feel alright",neutral
"Nothing unusual happened today",neutral
